Index,timestamp (s),[24Mg]+ (g),[25Mg]+ (g),[27Al]+ (g),[28Si]+ (g),[29Si]+ (g),[44Ca]+ (g),[45Sc]+ (g),[46Ti]+ (g),[47Ti] (g),[48Ti]+ (g),[49Ti]+ (g),[51V] (g),[52Cr]+ (g),[53Cr]+ (g),[54Fe]+ (g),[55Mn]+ (g),[56Fe]+ (g),[57Fe]+ (g),[58Ni]+ (g),[59Co]+ (g),[60Ni]+ (g),[63Cu]+ (g),[64Zn]+ (g),[65Cu]+ (g),[66Zn]+ (g),[67Zn]+ (g),[68Zn]+ (g),[69Ga]+ (g),[71Ga]+ (g),[72Ge]+ (g),[75As]+ (g),[78Se]+ (g),[80Se]+ (g),[85Rb]+ (g),[88Sr]+ (g),[89Y]+ (g),[90Zr]+ (g),[93Nb]+ (g),[94Zr]+ (g),[96Mo]+ (g),[98Mo]+ (g),[102Ru]+ (g),[103Rh]+ (g),[106Pd]+ (g),[107Ag]+ (g),[108Pd]+ (g),[109Ag]+ (g),[112Cd]+ (g),[114Cd]+ (g),[115In]+ (g),[118Sn]+ (g),[120Sn]+ (g),[121Sb]+ (g),[123Sb]+ (g),[128Te]+ (g),[130Te]+ (g),[133Cs]+ (g),[137Ba]+ (g),[138Ba]+ (g),[139La]+ (g),[140Ce]+ (g),[141Pr]+ (g),[142Nd]+ (g),[142Ce]+ (g),[144Nd]+ (g),[151Eu]+ (g),[152Sm]+ (g),[153Eu]+ (g),[154Sm]+ (g),[156Gd]+ (g),[158Gd]+ (g),[159Tb]+ (g),[162Dy]+ (g),[164Dy]+ (g),[165Ho]+ (g),[166Er]+ (g),[168Er]+ (g),[169Tm]+ (g),[174Yb]+ (g),[175Lu]+ (g),[180Hf]+ (g),[181Ta]+ (g),[185Re]+ (g),[190Os]+ (g),[192Pt]+ (g),[192Os]+ (g),[193Ir]+ (g),[194Pt]+ (g),[195Pt]+ (g),[196Pt]+ (g),[197Au]+ (g),[198Pt]+ (g),[200Hg]+ (g),[202Hg]+ (g),[206Pb]+ (g),[208Pb]+ (g),[209Bi]+ (g),[238U]+ (g)
7,0.0119594870775246,,,4.67474554103862E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0198784339258606,,,4.29781920685216E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0302711983295118,,,4.3363479102391E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0382272652411993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83243379472928E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0560585490065903,,,3.50689219150887E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50324400239045E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0918785568060703,,,2.97112736104497E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0970907257015052,,,3.3851277205127E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.149674922111867,4.08983018383511E-16,,5.99126139557721E-16,5.41331623963197E-15,,,,,,4.57479600266826E-17,,,,,7.84175827557429E-16,2.23457057914909E-17,,1.55848653695506E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.20723235367655,3.14230944571532E-16,,3.26411934400352E-15,6.04187745797378E-15,,,,,,,,,,,,,,1.53549939793335E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69946040715738E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0.239484142052936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72139710550984E-16,4.39171304805366E-16,3.75767474194389E-17,2.25158176156811E-16,2.25158176156811E-16,1.37428926577027E-16,,2.30404148437359E-17,,3.14580222389845E-17,3.43302505860357E-17,2.48072286039105E-17,,,1.29520802752044E-17,,,,,,,,,,,,,,,,,,,,,,,,
