Index,timestamp /s,[24Mg]+ /g,[25Mg]+ /g,[27Al]+ /g,[28Si]+ /g,[29Si]+ /g,[45Sc]+ /g,[46Ti]+ /g,[47Ti] /g,[48Ti]+ /g,[49Ti]+ /g,[51V] /g,[52Cr]+ /g,[53Cr]+ /g,[54Fe]+ /g,[55Mn]+ /g,[56Fe]+ /g,[57Fe]+ /g,[58Ni]+ /g,[59Co]+ /g,[60Ni]+ /g,[63Cu]+ /g,[64Zn]+ /g,[65Cu]+ /g,[66Zn]+ /g,[67Zn]+ /g,[68Zn]+ /g,[69Ga]+ /g,[71Ga]+ /g,[72Ge]+ /g,[75As]+ /g,[78Se]+ /g,[80Se]+ /g,[85Rb]+ /g,[88Sr]+ /g,[89Y]+ /g,[90Zr]+ /g,[93Nb]+ /g,[94Zr]+ /g,[96Mo]+ /g,[98Mo]+ /g,[102Ru]+ /g,[103Rh]+ /g,[106Pd]+ /g,[107Ag]+ /g,[108Pd]+ /g,[109Ag]+ /g,[112Cd]+ /g,[114Cd]+ /g,[118Sn]+ /g,[120Sn]+ /g,[121Sb]+ /g,[123Sb]+ /g,[128Te]+ /g,[130Te]+ /g,[133Cs]+ /g,[137Ba]+ /g,[138Ba]+ /g,[139La]+ /g,[140Ce]+ /g,[141Pr]+ /g,[142Nd]+ /g,[142Ce]+ /g,[144Nd]+ /g,[151Eu]+ /g,[152Sm]+ /g,[153Eu]+ /g,[154Sm]+ /g,[156Gd]+ /g,[158Gd]+ /g,[159Tb]+ /g,[162Dy]+ /g,[164Dy]+ /g,[165Ho]+ /g,[166Er]+ /g,[168Er]+ /g,[169Tm]+ /g,[174Yb]+ /g,[175Lu]+ /g,[180Hf]+ /g,[181Ta]+ /g,[185Re]+ /g,[190Os]+ /g,[192Os]+ /g,[193Ir]+ /g,[194Pt]+ /g,[195Pt]+ /g,[197Au]+ /g,[200Hg]+ /g,[202Hg]+ /g,[206Pb]+ /g,[208Pb]+ /g,[209Bi]+ /g,[238U]+ /g
12,0.0252646507795843,1.81977615385201E-15,2.9383899809573E-15,6.25589835254247E-15,5.61442900005269E-13,,,,,,,,,,6.29396410809322E-15,1.37346487532115E-16,1.2068249178467E-14,1.00289773194482E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0288627323147658,,,,,,,,,,,,,,,1.96531134301561E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0443123389065979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86604622890534E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0506086615930289,,,,,,,1.97428113782308E-15,2.11487638956352E-15,1.88219773161023E-15,1.63974721484136E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0768294727805751,,,,,,,,,4.92009348806816E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0855616365062982,,,,,,,,,,,,,,,1.72786797316705E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.0971550281194787,,2.05753044761465E-15,,6.19634285595601E-13,,,4.22394809986343E-15,3.28445453014685E-15,3.98040872690507E-15,4.3250443650274E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29829666824643E-17,,,
57,0.113315888348112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14589281366154E-16,,8.60411200777021E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.127570401096704,,,,,,,,,4.28281425842053E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.141990460582597,,,,5.20819204364167E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.147744489704316,,1.80474501796348E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.155650199744085,,,,6.06021906332942E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0.175723168308552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37029445204822E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.223725748789653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89415131240387E-16,2.75192177396985E-15,,2.16233402571679E-15,3.59742565313268E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23406685027855E-17,4.29374090586645E-17,,,,,9.30735685612574E-17,,,,,,,,,,,,,,
118,0.229640631313336,,,,,,,,1.21453959264124E-15,1.53313982827288E-15,1.46989544221065E-15,,,,,1.29415114820953E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0.2356280472013,,,,,,,,,,,,,,,1.63187985443229E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.245708478168951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0512285880346E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0.267650674197621,,,6.35318468710387E-15,5.85369293202128E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0.271653235905381,,,,,,,,,,,,,,4.77629098310534E-15,,7.51946540848545E-15,7.85294176969577E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0.289673936927546,4.21952003308569E-15,2.64240202980633E-15,1.5708338048155E-14,1.71450159779952E-12,-1.06523600639058E-14,,,,,,,,,1.38544301936092E-14,4.12162874636459E-16,2.39888084145826E-14,1.86091802980016E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0.315671174686368,,,,,,,3.04866309542701E-15,3.70079321984288E-15,2.81347187607226E-15,2.82847857082105E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.32363235141647,,,,2.0114017994474E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0.339852091670226,,,4.79304832504963E-15,7.86307183378401E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46002259703487E-16,,,,,,,,,,,,,,,,,,,,,,,,1.6882136559142E-16,3.56622282113239E-16,3.05735048244504E-17,1.76649253209448E-16,1.76997451941828E-16,1.34767519032866E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.345776787531429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12493814505849E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
