Index,timestamp /s,[24Mg]+ /g,[25Mg]+ /g,[27Al]+ /g,[28Si]+ /g,[29Si]+ /g,[45Sc]+ /g,[46Ti]+ /g,[47Ti] /g,[48Ti]+ /g,[49Ti]+ /g,[51V] /g,[52Cr]+ /g,[53Cr]+ /g,[54Fe]+ /g,[55Mn]+ /g,[56Fe]+ /g,[57Fe]+ /g,[58Ni]+ /g,[59Co]+ /g,[60Ni]+ /g,[63Cu]+ /g,[64Zn]+ /g,[65Cu]+ /g,[66Zn]+ /g,[67Zn]+ /g,[68Zn]+ /g,[69Ga]+ /g,[71Ga]+ /g,[72Ge]+ /g,[75As]+ /g,[78Se]+ /g,[80Se]+ /g,[85Rb]+ /g,[88Sr]+ /g,[89Y]+ /g,[90Zr]+ /g,[93Nb]+ /g,[94Zr]+ /g,[96Mo]+ /g,[98Mo]+ /g,[102Ru]+ /g,[103Rh]+ /g,[106Pd]+ /g,[107Ag]+ /g,[108Pd]+ /g,[109Ag]+ /g,[112Cd]+ /g,[114Cd]+ /g,[118Sn]+ /g,[120Sn]+ /g,[121Sb]+ /g,[123Sb]+ /g,[128Te]+ /g,[130Te]+ /g,[133Cs]+ /g,[137Ba]+ /g,[138Ba]+ /g,[139La]+ /g,[140Ce]+ /g,[141Pr]+ /g,[142Nd]+ /g,[142Ce]+ /g,[144Nd]+ /g,[151Eu]+ /g,[152Sm]+ /g,[153Eu]+ /g,[154Sm]+ /g,[156Gd]+ /g,[158Gd]+ /g,[159Tb]+ /g,[162Dy]+ /g,[164Dy]+ /g,[165Ho]+ /g,[166Er]+ /g,[168Er]+ /g,[169Tm]+ /g,[174Yb]+ /g,[175Lu]+ /g,[180Hf]+ /g,[181Ta]+ /g,[185Re]+ /g,[190Os]+ /g,[192Os]+ /g,[193Ir]+ /g,[194Pt]+ /g,[195Pt]+ /g,[197Au]+ /g,[200Hg]+ /g,[202Hg]+ /g,[206Pb]+ /g,[208Pb]+ /g,[209Bi]+ /g,[238U]+ /g
6,0.0108953646486889,2.11698873305496E-15,,5.40883728794418E-16,,,,,,5.64996061787525E-16,,,,,1.21539940925705E-15,5.38283904356545E-17,,,,,,,,,2.94732020425922E-16,,,,,,,,,,2.63064080784529E-16,,,,,,,,,,,,,,,1.45279214778031E-16,7.37285182142116E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55605523957478E-16,2.33736736980054E-16,,
8,0.0148881130189282,8.43724546065472E-16,,9.00257066714815E-16,,,,,,,,,,,1.28342228815774E-15,9.45061006180485E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0429367649863531,8.57715377338997E-16,,7.60738409064947E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0993421223859722,6.52485727780014E-16,,8.17027978815049E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.138749925866635,1.3817643426215E-15,1.85991309076318E-15,7.97742435794318E-16,,,,1.10083166959548E-14,9.68076323450094E-15,1.29037792034178E-14,9.12342809834299E-15,,,,2.86972841304863E-15,4.37059344292535E-17,4.16440282289278E-15,2.76403633858781E-15,,,,,,,,,,,,,,,,,,,,4.13736030224062E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90242025205296E-16,1.65090248531514E-16,,
77,0.148530410039642,,,8.4625750374295E-16,,,,,,,,,,,,,,,,,,,2.03830515932826E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.16533212387504,,,4.91042761163316E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0.190439761254298,,,,,,,,,,,,,,,5.2043451236737E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.202449579711821,5.00427503175441E-16,,2.05038070529963E-15,,,,,,,,,5.98461437731174E-16,3.19476553636855E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11564716241304E-16,1.40095511893422E-16,,
121,0.236466020892169,,,8.60164190151109E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0.242493543463912,1.454479915862E-14,1.38132060434373E-14,5.01643073027759E-15,2.82466854383118E-13,,,,,,,,,,1.60695436239469E-15,7.92338530493838E-17,,,,,,3.36970452379104E-16,9.37647639902881E-16,3.68424128489483E-16,1.35450807339661E-15,1.4999123737546E-15,1.00995860336307E-15,,,,,,,,,,,,,,,,,,,,,,,1.81944841293702E-16,9.34398546589349E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0.302499542399805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8843622300114E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.310464985798394,3.65851898523458E-16,,6.67550238427047E-16,,,,,,,,,,,,,,,,,,,1.60142378180892E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61031138523728E-16,1.45993997629195E-16,1.7733320976018E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0.328463926811275,8.90162946117887E-16,,1.11792674091051E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.346505534509028,2.63920684378055E-15,,1.10725981153719E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35040620156836E-17,,
182,0.35854863298075,7.10554059338723E-16,,6.03847746893091E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0.368524103903618,1.61016083584267E-15,,6.1626268501412E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0.408456707608195,5.28208635017634E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,0.440420881246243,1.04307562090887E-15,,2.65271379307709E-15,,,,,,,,,,,1.20644383853681E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68744822841599E-16,2.01301648014343E-16,,
232,0.458698435711333,1.19242922903869E-15,1.91911898004272E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,0.464530118199517,,,,,,,,,,,,,,7.60395818227276E-16,1.87449551919264E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
