Index,timestamp /s,[24Mg]+ /g,[25Mg]+ /g,[27Al]+ /g,[28Si]+ /g,[29Si]+ /g,[45Sc]+ /g,[46Ti]+ /g,[47Ti] /g,[48Ti]+ /g,[49Ti]+ /g,[51V] /g,[52Cr]+ /g,[53Cr]+ /g,[54Fe]+ /g,[55Mn]+ /g,[56Fe]+ /g,[57Fe]+ /g,[58Ni]+ /g,[59Co]+ /g,[60Ni]+ /g,[63Cu]+ /g,[64Zn]+ /g,[65Cu]+ /g,[66Zn]+ /g,[67Zn]+ /g,[68Zn]+ /g,[69Ga]+ /g,[71Ga]+ /g,[72Ge]+ /g,[75As]+ /g,[78Se]+ /g,[80Se]+ /g,[85Rb]+ /g,[88Sr]+ /g,[89Y]+ /g,[90Zr]+ /g,[93Nb]+ /g,[94Zr]+ /g,[96Mo]+ /g,[98Mo]+ /g,[102Ru]+ /g,[103Rh]+ /g,[106Pd]+ /g,[107Ag]+ /g,[108Pd]+ /g,[109Ag]+ /g,[112Cd]+ /g,[114Cd]+ /g,[118Sn]+ /g,[120Sn]+ /g,[121Sb]+ /g,[123Sb]+ /g,[128Te]+ /g,[130Te]+ /g,[133Cs]+ /g,[137Ba]+ /g,[138Ba]+ /g,[139La]+ /g,[140Ce]+ /g,[141Pr]+ /g,[142Nd]+ /g,[142Ce]+ /g,[144Nd]+ /g,[151Eu]+ /g,[152Sm]+ /g,[153Eu]+ /g,[154Sm]+ /g,[156Gd]+ /g,[158Gd]+ /g,[159Tb]+ /g,[162Dy]+ /g,[164Dy]+ /g,[165Ho]+ /g,[166Er]+ /g,[168Er]+ /g,[169Tm]+ /g,[174Yb]+ /g,[175Lu]+ /g,[180Hf]+ /g,[181Ta]+ /g,[185Re]+ /g,[190Os]+ /g,[192Os]+ /g,[193Ir]+ /g,[194Pt]+ /g,[195Pt]+ /g,[197Au]+ /g,[200Hg]+ /g,[202Hg]+ /g,[206Pb]+ /g,[208Pb]+ /g,[209Bi]+ /g,[238U]+ /g
0,0,,,,,,,,,,,,,,,,,1.53802704540557E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0617839196944724,,1.54988611983277E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0654174145780969,,,,,,,,,,,,,,,4.5972942946336E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56425977324094E-15,2.23732983634472E-15,,
35,0.0689126694027389,,,,,,,,,,,,,,3.70360224840646E-14,,4.8312621377652E-14,6.0349514443111E-14,2.95945573539796E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0842091025958838,,,,,,,,,,,,,,3.54496767832743E-14,4.3666622509871E-16,4.89981347705084E-14,6.18719225746604E-14,4.26862094764651E-16,,,,3.45452406983413E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90009998033435E-16,,,
49,0.0951249472533108,,,2.69349639487327E-15,2.34859490532581E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.113377755041175,,,1.78032786722033E-15,,,,,,,,,,,1.70579366092715E-14,4.23208750979138E-16,2.08284454522606E-14,2.16450893268414E-14,2.70163880479427E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.140099473109109,,,,,,,,,,,,,,3.67606662802206E-14,,3.85601852425007E-14,5.49351635646917E-14,4.68926957351524E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.156131053282583,,,,,,,,,,,,,,,3.50726989767058E-15,,,,1.15379825150524E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.162053615809543,,,,6.34102213029296E-13,,,,,,,,,,2.54849897955221E-14,4.8922791849411E-16,2.72074123123244E-14,3.61371008218165E-14,3.75732898419838E-16,,,4.29771754548933E-16,,5.31407544694463E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08811252856081E-15,8.45687933069036E-16,,
95,0.184087118543837,,,2.08672665030816E-15,,,,,,7.29637673987223E-16,,,,,,,,,,,,,,,,,,,,,,,,,1.15503888842015E-16,,,,,,,,,,,,,,,,,,,,,,,,3.28167737878179E-16,4.03620405893985E-16,5.44600107457987E-17,1.79678006925799E-16,1.80032175727034E-16,8.95750262809766E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0.192007335256463,,,,,,,,,,,,,,,1.85366331435876E-16,,,,,,,,,,,,,,,,,,,,9.54378465871512E-17,5.6202527940442E-16,,4.06784301882448E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0.208011182084771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90023284454743E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04050183207637E-16,,,
114,0.222109961433584,7.26923350636263E-15,7.80785131025059E-15,1.75499338092888E-14,1.20588742085236E-12,,,,,,,,,,3.15250343053982E-14,2.03728078225659E-16,,,3.395491681951E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0.256119149277504,,,3.64668027818935E-15,,,,,,,,,,,1.24990292101107E-14,2.30220305910116E-16,,,,,,3.58412262354957E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0.270013555205784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20937440536239E-16,,1.07976352794686E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.286018682034638,,,,,,,,,,,,,,,3.58688565802795E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92804394246168E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2002161754589E-16,1.08722840720814E-15,7.88835829815411E-17,
150,0.294025512117552,,,,,,,,,,,,,,1.69081531116624E-14,,,,2.79464353047815E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.311989466448839,,,,,,,1.17825958970057E-15,9.40365156953216E-16,9.9881144508463E-16,1.11237271673616E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.334370702664833,,,,,,,,,,,,,,1.10549517604557E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52215456239214E-16,8.70151756529886E-16,,
173,0.340110225113696,,,,,,,,,,,,,,1.77193200155631E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0.344274920223966,,,,,,,,,,,,,,1.87652071035217E-14,2.73129196562849E-16,,,3.07471340500432E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
