Index,timestamp (s),[24Mg]+ (g),[25Mg]+ (g),[27Al]+ (g),[28Si]+ (g),[29Si]+ (g),[45Sc]+ (g),[46Ti]+ (g),[47Ti] (g),[48Ti]+ (g),[49Ti]+ (g),[51V] (g),[52Cr]+ (g),[53Cr]+ (g),[54Fe]+ (g),[55Mn]+ (g),[56Fe]+ (g),[57Fe]+ (g),[58Ni]+ (g),[59Co]+ (g),[60Ni]+ (g),[63Cu]+ (g),[64Zn]+ (g),[65Cu]+ (g),[66Zn]+ (g),[67Zn]+ (g),[68Zn]+ (g),[69Ga]+ (g),[71Ga]+ (g),[72Ge]+ (g),[75As]+ (g),[78Se]+ (g),[80Se]+ (g),[85Rb]+ (g),[88Sr]+ (g),[89Y]+ (g),[90Zr]+ (g),[93Nb]+ (g),[94Zr]+ (g),[96Mo]+ (g),[98Mo]+ (g),[102Ru]+ (g),[103Rh]+ (g),[106Pd]+ (g),[107Ag]+ (g),[108Pd]+ (g),[109Ag]+ (g),[112Cd]+ (g),[114Cd]+ (g),[118Sn]+ (g),[120Sn]+ (g),[121Sb]+ (g),[123Sb]+ (g),[128Te]+ (g),[130Te]+ (g),[133Cs]+ (g),[137Ba]+ (g),[138Ba]+ (g),[139La]+ (g),[140Ce]+ (g),[141Pr]+ (g),[142Nd]+ (g),[142Ce]+ (g),[144Nd]+ (g),[151Eu]+ (g),[152Sm]+ (g),[153Eu]+ (g),[154Sm]+ (g),[156Gd]+ (g),[158Gd]+ (g),[159Tb]+ (g),[162Dy]+ (g),[164Dy]+ (g),[165Ho]+ (g),[166Er]+ (g),[168Er]+ (g),[169Tm]+ (g),[174Yb]+ (g),[175Lu]+ (g),[180Hf]+ (g),[181Ta]+ (g),[185Re]+ (g),[190Os]+ (g),[192Pt]+ (g),[192Os]+ (g),[193Ir]+ (g),[194Pt]+ (g),[195Pt]+ (g),[196Pt]+ (g),[197Au]+ (g),[198Pt]+ (g),[200Hg]+ (g),[202Hg]+ (g),[206Pb]+ (g),[208Pb]+ (g),[209Bi]+ (g),[238U]+ (g)
22,0.0400384683323193,,,,,,,,,9.17304598346764E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0.200314795203917,,,1.56424051787933E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96203288895553E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0.210030865119343,,,,,,,,,6.21893184218691E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0.237925952726959,,,1.91684873373405E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.275971884325349,,,2.24787933081294E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0.322068176329688,,,,3.58196983717791E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.348403794609143,,,,,,,,,,,,,,,,,,,2.22499743439447E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0.374746239566916,,,1.29205998002907E-16,9.68648050011759E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0.434299194537292,,,,2.84557518031785E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,0.474219049333844,,,,,-7.1290369068721E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
